"club name","club category","about club","founded year","recruitment procedure","recruitment time","goal of club"
"Maaya","Cultural Festival/Techno-cultural Fest","Maaya is the annual intercollegiate techno-cultural fest of PES University, Electronic City Campus. The fest has a wide display of celebrity performances, concerts and plenty of events for everyone with great prizes. Maaya is ranked among the top 10 fest in Bangalore with 50 colleges participating and a footfall of over 9000 people last year. We have over 32 events with various categories such as cultural, technical, sports and theatre, to name a few. [cite: 6, 7, 8, 9]","September 10, 2019 [cite: 4]","During the Maaya event, forms will be published for interested candidates to apply. A virtual selection round will be conducted, and the final selection list will be sent via email. [cite: 11, 12]","The recruitment for Maaya starts during the odd semester. [cite: 13]","The goal of Maaya is to provide a dynamic platform for students to showcase their talents in cultural, technical, sports, and theatrical events while fostering creativity, collaboration, and excellence. It aims to bring together students from various colleges, enhancing intercollegiate interactions and delivering high-quality entertainment and competitive experiences. [cite: 15, 16]"
"Hashtag","Western Dance Crew","Hashtag is the western dance crew of PES University Electronic City Campus. We bring together all the student dancers interested in Hip-Hop and western dance. We represent the college at various inter-collegiate fests. [cite: 21, 22, 23]","October 25, 2019 [cite: 19]","During the Hashtag recruitment drive, forms will be published for interested candidates to apply. A virtual audition round will be conducted, and the final selection list will be sent via email. [cite: 25, 26]","The recruitment for Hashtag starts during the odd semester. [cite: 27]","The goal of Hashtag is to unite passionate student dancers interested in Hip-Hop and western dance, providing them with a platform to refine their skills, collaborate, and represent PES University, Electronic City Campus, at various intercollegiate festivals. The club aims to promote artistic expression, teamwork, and excellence in dance performances. [cite: 29, 30]"
"Mangobites","Theatre Club","Mangobites is the official theatre club of PES University Electronic City Campus. We are a team of passionate artists, who'll make you sit at the edge of your seat, give you laughing fits. One thing's for sure, when the spotlight is on us, we won't bore you to bits. [cite: 35, 36, 37]","October 31, 2019 [cite: 33]","During the Mangobites recruitment drive, forms will be published for interested candidates to apply. A virtual audition round will be conducted, and the final selection list will be sent via email. [cite: 39, 40]","The recruitment for Mangobites starts during the odd semester. [cite: 41]","The goal of Mangobites is to bring together passionate theatre artists and performers, creating engaging and entertaining performances that captivate audiences. The club aims to foster creativity, storytelling, and stagecraft while representing PES University, Electronic City Campus, in various theatre events and competitions. [cite: 43, 44]"
"Shaken not Stirred","Western Electric Music Club","Shaken not Stirred is the western electric music club of PES University Electronic City Campus. Calling ourselves Shaken not Stirred comes from the fact that our musical style roots from various backgrounds. We play around with funk, djent, hard-rock, progressive with gospel elements. Our main influences come from Tool, Dream Theater, vulfpeck, Snarky Puppy, Aristocrats, Porcupine Tree, etc.. [cite: 49, 50, 51, 52]","October 31, 2019 [cite: 47]","During the Shaken not Stirred recruitment drive, forms will be published for interested candidates to apply. A virtual audition round will be conducted, and the final selection list will be sent via email. [cite: 54, 55]","The recruitment for Shaken not Stirred starts during the odd semester. [cite: 56]","The goal of Shaken not Stirred is to bring together passionate musicians who explore diverse western electric music genres. The club aims to create unique, high-energy performances while representing PES University, Electronic City Campus, at various intercollegiate events and competitions. [cite: 58, 59]"
"Panache","Fashion Team","Panache is the official fashion team of PES University Electronic City Campus. We strive to bring together diverse and unique styles into a common platform to showcase individuality as well as heterogeneity in fashion. We also aim to keep everyone updated on the latest trends and give everyone an opportunity to showcase their creativity. [cite: 64, 65, 66]","October 31, 2019 [cite: 62]","During the Panache recruitment drive, forms will be published for interested candidates to apply. A virtual audition round will be conducted, and the final selection list will be sent via email. [cite: 68, 69]","The recruitment for Panache starts during the odd semester. [cite: 71]","The goal of Panache is to create a platform for students to express their individuality and creativity in fashion. The club aims to promote diverse styles, encourage innovation, and represent PES University, Electronic City Campus, at various intercollegiate fashion events and competitions. [cite: 73, 74]"
"The Pixelloid Club","Photography Team","The Pixelloid Club is the official photography team of PES University, Electronic City Campus. The club is responsible for capturing and documenting all major college events, including Maaya, Ingenius, and IEEE Kalpana. With a dedicated team of 23 photographers and videographers, the club ensures that every memorable moment is well preserved. [cite: 79, 80, 81]","October 31, 2019 [cite: 77]","During the Pixelloid Club recruitment drive, forms will be published for interested candidates to apply. A virtual selection round will be conducted, and the final selection list will be sent via email. [cite: 83, 84]","The recruitment for The Pixelloid Club starts during the odd semester. [cite: 86]","The goal of The Pixelloid Club is to capture and document the essence of college life through photography and videography. The club aims to enhance event experiences by preserving memories, promoting creativity in visual storytelling, and representing PES University, Electronic City Campus, through its high-quality media coverage. [cite: 88, 89]"
"inGenius","Hackathon/Technical Event","inGenius is the flagship intercollegiate hackathon of PES University, Electronic City Campus. It provides a platform for students to showcase their problem-solving skills, creativity, and technical expertise. Participants collaborate to develop innovative solutions to real-world challenges, competing against some of the brightest minds from various institutions. [cite: 94, 95, 96]","October 31, 2019 [cite: 92]","During the inGenius recruitment drive, forms will be published for interested candidates to apply. A virtual selection round will be conducted, and the final selection list will be sent via email. [cite: 98, 99]","The recruitment for inGenius starts during the odd semester. [cite: 101]","The goal of inGenius is to foster innovation, teamwork, and technical excellence among students. The event aims to encourage creative problem-solving, promote interdisciplinary collaboration, and provide participants with hands-on experience in tackling industry-relevant challenges. [cite: 103, 104]"
"Kludge","Electronic Design Challenge/Technical Event","Kludge is the premier intercollegiate electronic design challenge organized by the Electronics and Communication Department of PES University, Electronic City Campus. The event brings together aspiring engineers to design, innovate, and develop electronic solutions for real-world problems, fostering creativity and technical excellence in the field of electronics. [cite: 109, 110]","October 31, 2019 [cite: 107]","During the Kludge recruitment drive, forms will be published for interested candidates to apply. A virtual selection round will be conducted, and the final selection list will be sent via email. [cite: 112, 113]","The recruitment for Kludge starts during the odd semester. [cite: 115]","The goal of Kludge is to provide a platform for students to enhance their electronic design and problem-solving skills. The event encourages innovation, teamwork, and practical application of engineering knowledge, preparing participants for challenges in the electronics industry. [cite: 117, 118]"
"onCreate()","Mobile Technologies/Technical Club","onCreate() is a community-driven club at PES University, Electronic City Campus, dedicated to fostering collaboration among students passionate about mobile technologies. The club focuses on solving real-world problems using the latest smartphone technologies while encouraging innovation, teamwork, and skill development. [cite: 123, 124]","November 02, 2019 [cite: 121]","During the onCreate() recruitment drive, forms will be published for interested candidates to apply. A virtual selection round will be conducted, and the final selection list will be sent via email. [cite: 126, 127]","The recruitment for onCreate() starts during the odd semester. [cite: 129]","The goal of onCreate() is to accelerate the development of both interpersonal and technical skills in the domain of smartphone technologies. The club aims to contribute significantly to solving real-world problems and transforming innovative ideas into impactful mobile applications. [cite: 130, 131]"
"Techwarts","Technical Community/Specialized Technical Clubs","Techwarts is a community-driven technical organization under the Department of Computer Science and Engineering at PES University, Electronic City Campus. It consists of three specialized clubs: Pixel - Augmented Reality/Virtual Reality and Game Development Club, Predict This! - Machine Learning and Artificial Intelligence Club, We_The_Programmers - Competitive Coding Club. Techwarts was founded with the vision of creating a collaborative technical community where students can develop interest-based skills through peer-to-peer learning and project collaborations. [cite: 136, 137, 138, 139, 140]","November 02, 2019 [cite: 134]","During the Techwarts recruitment drive, forms will be published for interested candidates to apply. A virtual selection round will be conducted, and the final selection list will be sent via email. [cite: 142, 143]","The recruitment for Techwarts starts during the odd semester. [cite: 145]","The goal of Techwarts is to build a strong technical ecosystem where students with shared interests can learn, collaborate, and enhance their expertise in fields like competitive programming, artificial intelligence, game development, and emerging technologies. The club fosters a culture of innovation, teamwork, and continuous learning. [cite: 147, 148]"
"Nirantara","Indo-contemporary and Classical Dance Team","Nirantara is dedicated to preserving and promoting classical dance forms that have been nurtured and evolved in India while blending them with contemporary and western influences. The club aims to keep these art forms alive in the hearts of people by delivering captivating performances. [cite: 150, 151]","November 02, 2019 [cite: 150]","During the Nirantara recruitment drive, forms will be published for interested candidates to apply. A virtual audition round will be conducted, and the final selection list will be sent via email. [cite: 152, 153]","The recruitment for Nirantara starts during the odd semester. [cite: 154]","The goal of Nirantara is to celebrate and sustain the rich heritage of Indian classical dance while embracing contemporary styles. The club provides a platform for passionate dancers to showcase their talent, refine their skills, and represent PES University at various cultural events and competitions. [cite: 155, 156]"
"H.E.L.P (Humanitarian Endeavor for Life Perseverance)","CSR Initiative/Social Responsibility","H.E.L.P provides a platform for students to engage in social responsibility activities, including volunteering at NGOs, teaching underprivileged children, and organizing problem-solving sessions to address real-world issues. It encourages students to apply their ethical skills and make a meaningful impact on society. [cite: 158, 159]","November 02, 2019 [cite: 158]","During the H.E.L.P recruitment drive, forms will be published for interested candidates to apply. A virtual screening round will be conducted, and the final selection list will be sent via email. [cite: 160, 161]","The recruitment for H.E.L.P starts during the odd semester. [cite: 162]","The goal of H.E.L.P is to foster a sense of social responsibility among students by encouraging them to contribute to the community through volunteering, education, and problem-solving initiatives. The club aims to create a positive societal impact and inspire students to become ethical leaders and change-makers. [cite: 163, 164]"
"The Clefhangers","Acapella/Acoustic Club","The Clefhangers specialize in Acapella and Acoustic music, drawing inspiration from various genres, including pop, rock, alternative, retro, and even Disney. The club is known for its creative mashups and original takes on popular songs, bringing a unique musical experience to the campus. [cite: 166, 167]","November 02, 2019 [cite: 166]","During The Clefhangers recruitment drive, forms will be published for interested candidates to apply. A virtual audition round will be conducted, and the final selection list will be sent via email. [cite: 168, 169]","The recruitment for The Clefhangers starts during the odd semester. [cite: 170]","The goal of The Clefhangers is to create a platform for passionate singers and musicians to explore and experiment with Acapella and Acoustic music. The club aims to foster creativity, teamwork, and musical excellence while representing PES University in various music competitions and events. [cite: 171, 172]"
"The Entrepreneurship Club","Entrepreneurship Club","The Entrepreneurship Club gathers and nurtures spirited individuals in the engineering community by fostering their entrepreneurial mindset. The club aims to establish a peer network of students interested in entrepreneurship and help them connect with relevant stakeholders through events, associations, and more. [cite: 174, 175]","November 02, 2019 [cite: 174]","During The Entrepreneurship Club recruitment drive, forms will be published for interested candidates to apply. A virtual selection round will be conducted, and the final selection list will be sent via email. [cite: 176, 177]","The recruitment for The Entrepreneurship Club starts during the odd semester. [cite: 178]","The goal of The Entrepreneurship Club is to inspire and empower students to develop innovative ideas, transform them into viable business solutions, and connect with industry experts, investors, and mentors. The club fosters creativity, problem-solving, and leadership in the entrepreneurial space. [cite: 179, 180]"
"Swarantraka","Indian Classical Music Club","Swarantraka strives to encourage, popularize, and attract audiences to Indian Classical music, including both Carnatic and Hindustani Classical Music (instrumental and vocal). The club performs at various events, blending traditional and fusion styles to create captivating musical experiences. [cite: 182, 183]","November 02, 2019 [cite: 182]","During the Swarantraka recruitment drive, forms will be published for interested candidates to apply. A virtual audition round will be conducted, and the final selection list will be sent via email. [cite: 184, 185]","The recruitment for Swarantraka starts during the odd semester. [cite: 186]","The goal of Swarantraka is to preserve and promote Indian Classical Music among students while providing a platform for aspiring musicians to showcase their talent. The club aims to cultivate a deeper appreciation for classical music through performances, workshops, and collaborations. [cite: 187, 188]"
"Team Avions","Aerodesign Club","Team Avions is dedicated to the design, fabrication, and testing of Unmanned Aerial Vehicles (UAVs) for various national and international competitions. The club provides students with hands-on experience in aerodynamics, structural design, and flight mechanics, fostering innovation and technical expertise in the field of aerospace engineering. [cite: 190, 191]","November 02, 2019 [cite: 190]","During the Team Avions recruitment drive, forms will be published for interested candidates to apply. A selection process, including technical interviews and a practical evaluation, will be conducted to shortlist candidates. The final selection list will be sent via email. [cite: 192, 193, 194]","The recruitment for Team Avions starts during the odd semester. [cite: 194]","The goal of Team Avions is to provide a platform for students passionate about aerodesign and UAV technology. The club aims to nurture skills in aircraft design, computational simulations, and real-world problem-solving, enabling students to compete in prestigious competitions while advancing their knowledge in aerospace engineering. [cite: 195, 196]"
"Team Enigma","Automotive Club","Team Enigma is dedicated to the design, fabrication, and testing of All-Terrain Vehicles (ATVs) for various national and international competitions. The club provides hands-on experience in automobile engineering, mechanical design, and vehicle dynamics, preparing students for real-world challenges in the automotive industry. [cite: 198, 199]","November 02, 2019 [cite: 198]","During the Team Enigma recruitment drive, forms will be published for interested candidates to apply. A selection process, including technical interviews and practical assessments, will be conducted to shortlist candidates. The final selection list will be sent via email. [cite: 200, 201, 202]","The recruitment for Team Enigma starts during the odd semester. [cite: 202]","The goal of Team Enigma is to nurture innovation and technical expertise in the field of automotive engineering. The club aims to provide students with practical exposure to vehicle design, manufacturing, and testing, enabling them to excel in competitive automotive events while advancing their engineering knowledge. [cite: 203, 204]"
"Bits & Bytes","Coding Club","Bits & Bytes aims to enhance students' coding skills and provide a platform to work on projects involving the latest technologies. The club encourages students to solve real-world problems through programming and fosters a collaborative learning environment to build innovative solutions. [cite: 206, 207]","November 02, 2019 [cite: 206]","During the Bits & Bytes recruitment drive, forms will be published for interested candidates to apply. A selection process, including coding assessments and technical interviews, will be conducted to shortlist candidates. The final selection list will be sent via email. [cite: 208, 209, 210]","The recruitment for Bits & Bytes starts during the odd semester. [cite: 210]","The goal of Bits & Bytes is to develop a strong coding culture among students, enabling them to enhance their programming skills, work on impactful projects, and participate in coding competitions. The club focuses on peer-to-peer learning, innovation, and real-world problem-solving through technology. [cite: 211, 212]"
"Association for Computing Machinery (ACM)","Computing Society","The Association for Computing Machinery (ACM) is a US-based international learned society for computing and is the world's largest scientific and educational computing society. The PESU EC ACM Chapter aims to connect students, researchers, and professionals in the field of computer science and technology, fostering a culture of innovation, collaboration, and technical excellence. [cite: 214, 215]","November 02, 2019 [cite: 214]","During the ACM recruitment drive, interested candidates can apply via a registration form. The selection process includes coding assessments, technical interviews, and problem-solving challenges. The final selection list will be communicated via email. [cite: 216, 217, 218]","Recruitment for ACM takes place during the odd semester. [cite: 218]","To nurture a strong computing community, promote technological research and innovation, and empower students with industry relevant skills. ACM PESU EC strives to create an environment for continuous learning and professional growth in computing. [cite: 219, 220]"
"Apostrophe","Literary Club","Apostrophe is the literary club of PES University Electronic City Campus, dedicated to self-expression, creativity, and the love for literature. The club provides a platform for students to explore and enhance their creative writing, public speaking, and analytical skills through various literary activities. [cite: 222, 223]","November 02, 2019 [cite: 222]","The club conducts a literary aptitude test followed by a short interview to understand the candidate’s interest and skills in writing, speaking, or literature appreciation. [cite: 224]","New members are recruited once every odd semester. [cite: 225]","To foster a culture of literary excellence, encourage self-expression, and provide a space for students to explore their creative potential through the power of words. [cite: 226]"
"Terpsichore","Desi Dance Crew","Terpsichore is the official Desi Dance Crew of PES University Electronic City Campus, celebrating the vibrancy of Indian dance forms. The club serves as a platform for talented dancers from various desi dance styles to showcase their skills, collaborate, and grow as artists. [cite: 227, 228]","November 02, 2019 [cite: 227]","Auditions are held every odd semester (typically at the beginning of the semester). Dancers are evaluated based on technique, creativity, stage presence, and adaptability to different desi styles. [cite: 229, 230]","Every odd semester (typically at the beginning of the semester). [cite: 229]","To unite passionate dancers, promote Indian dance culture, and create electrifying performances that leave a lasting impact. [cite: 231]"
"The HAM Club","Amateur Radio Club","The HAM Club of PES University Electronic City Campus is an amateur radio club that connects students through wireless communication technology. Amateur Radio (HAM radio) is a popular hobby and service that brings people, electronics, and communication together—without relying on cell phones or the internet. This club is authorized by the Indian Institute of Hams and aims to set up a HAM station on campus while training students to use HAM radio effectively. [cite: 233, 234, 235]","November 02, 2019 [cite: 233]","Interested students undergo a basic orientation session followed by an introduction to radio operation and licensing procedures. [cite: 236]","New members are recruited every odd semester. [cite: 237]","To promote and educate students about amateur radio technology, enhance technical communication skills, and build a community of licensed HAM radio operators on campus. [cite: 238]"
"Idea Pi","Technical and Mathematical Skills Club","Idea Pi is a club dedicated to enhancing technical skills with mathematics as the foundation, while also integrating soft skills for overall development. We believe that a strong mathematical background is essential for problem-solving, innovation, and logical reasoning in various technical fields. [cite: 240, 241]","February 04, 2020 [cite: 240]","A short aptitude test followed by an interactive session to assess problem-solving skills and enthusiasm for mathematics. [cite: 242]","New members are recruited every odd semester. [cite: 243]","To build a strong foundation in mathematics and technical skills, enabling students to excel in problem-solving, logical reasoning, and innovative thinking across various domains. [cite: 244]"
"MUNSOC","Model United Nations (MUN) Club","MUNSOC is dedicated to the simulation of real-world United Nations conferences, where students engage in research, debate, and diplomacy to address global issues and draft resolutions. The club provides students with an opportunity to develop critical thinking, negotiation, and public speaking skills while gaining an in-depth understanding of international relations and policymaking. By participating in national and international MUN conferences, members enhance their ability to articulate arguments, collaborate in teams, and find solutions to pressing global challenges. [cite: 246, 247, 248]","March 01, 2020 [cite: 246]","During the MUNSOC recruitment drive, application forms will be released for interested candidates. The selection process consists of a written test or position paper submission, followed by a debate or speech round to assess research, analytical, and public speaking skills. Shortlisted candidates will be evaluated on their ability to articulate ideas and engage in diplomatic discussions. The final selection list will be communicated via email. [cite: 249, 250, 251, 252]","MUNSOC conducts its recruitment process during the odd semester, welcoming students who are passionate about global affairs, diplomacy, and leadership. [cite: 253]","The goal of MUNSOC is to create a platform for students to develop their skills in diplomacy, leadership, and problem-solving. [cite: 254]"
"Quotient Quiz Club EC Chapter","Quizzing Club","Quotient Quiz Club EC Chapter is a community for passionate quizzers who love to explore and challenge their knowledge across diverse topics, including history, science, literature, pop culture, sports, and current affairs. The club aims to foster a culture of curiosity, critical thinking, and intellectual engagement through regular quiz sessions, competitions, and knowledge-sharing events. By participating in both intra-college and intercollegiate quiz tournaments, members get the opportunity to sharpen their analytical skills, enhance their general awareness, and enjoy the thrill of competitive quizzing. [cite: 256, 257, 258]","March 31, 2022 [cite: 256]","During the recruitment drive, interested candidates can register by filling out an application form. The selection process typically includes a written general knowledge and aptitude test, followed by an interactive round where candidates showcase their quick thinking and problem-solving abilities. The final selection list will be announced via email. [cite: 259, 260, 261]","New members are recruited once every semester, allowing students to join and grow within the club. [cite: 262]","The goal of Quotient Quiz Club EC Chapter is to build a strong community of quizzers who are passionate about learning and competing. [cite: 263]"
"Rotaract PESUECC","Social Service/CSR Club","We, the members of Rotaract Club, PES University , Electronic City Campus, are looking forward to working on initiatives to serve the underprivileged children & youth of the society. We are guided by Rotary E-Connect. Our organization is a student run initiative and aims at working towards the betterment of those around us. Rotaract Club is the youth wing of Rotary International. Rotary International is a humanitarian service organization that brings together business and professional leaders in order to provide community service, promote integrity, and advance goodwill, peace, and understanding in the world. At the heart of our Rotaract Club is a commitment to service. [cite: 264, 265, 266, 267, 268]","May 06, 2023 [cite: 264]","During the Rotaract PESUECC recruitment drive, interested candidates can apply by filling out an application form. The selection process involves an interactive session where candidates demonstrate their enthusiasm for community service and leadership qualities. The final selection list will be announced via email. [cite: 269, 270, 271]","The recruitment for Rotaract PESUECC takes place at the beginning of each semester. [cite: 271]","The goal of Rotaract PESUECC is to cultivate a culture of service and leadership among students. By participating in community-driven projects, members develop essential skills while contributing to the betterment of society. The club aspires to create socially responsible leaders who are committed to making a positive impact on the world. [cite: 272, 273, 274]"
"Parallax","Game Development and AR/VR Club","With a focus on fostering creativity and pushing the boundaries of what's possible in the digital realm, Parallax provides a platform for students to learn and collaborate on exciting projects. [cite: 276]","May 08, 2023 [cite: 276]","During the Parallax recruitment drive, interested candidates can apply by filling out an application form. The selection process may include an assessment of technical skills, a short interview, and a practical task to evaluate creativity and problem-solving abilities. The final selection list will be announced via email. [cite: 277, 278, 279]","The recruitment for Parallax takes place at the beginning of each semester. [cite: 280]","The goal of Parallax is to nurture talent in game development and immersive technologies, equipping students with the skills needed to create engaging and innovative digital experiences. By working on real-world projects and competing in industry events, members gain valuable expertise while pushing the boundaries of what's possible in AR, VR, and game development. [cite: 281, 282]"
"Kannada Koota","Karnataka Culture Language Technical Club","ನಮ್ಮ ಯುವ ಪೀಳಿಗೆಯಮ್ನಸ್ಸಿ ನಲ್ಲಿ ಕನನ ಡ ಅಭಿಮಾನಹಾಗೂ ಕರ್ನಾಟಕದ ಸಂಸಕ ೃತಿ,ಇತಿಹಾಸ,ಪರಂಪರೆಯಬಗೆೆ ಅರಿವು ಮೂಡಿಸುವ ಮ್ತ್ತು ಕನನ ಡಭಾಷೆಯನ್ನನ ಉಳಿಸ್ಸ-ಬೆಳೆಸುವ ಜವಬ್ದಾ ರಿಯನ್ನನ ಮ್ನಸಿ ಲ್ಲಿ ಟ್ಟು ಕಂಡುನಮ್ಮ ಪ.ಇ.ಎಸ್ ವಿಶ್ವ ವಿದ್ಯಾ ನಿಲಯದಲ್ಲಿ ೧೯-೦೯-೨೦೨೨ ರಲ್ಲಿ ಕಾಯ-ವಾಚ ಮ್ನಸ್ಸಿ ನಿಂದ ಕನನ ಡಕೂಟವನ್ನನ ಸ್ಥಾ ಪಸಲಾಯಿತ್ತ. ಈಕೂಟವು ವಿಶ್ವ ವಿದ್ಯಾ ಲಯದ ಆಡಳಿತ ಮ್ಂಡಳಿ, ಪ್ರ ಂಶುಪ್ಲರುಹಾಗೂ ಬೀಧಕ ಸ್ಸಬಬ ಂದಿಗಳ ಸಹಕಾರದಂದಿಗೆ, ಪರ ತಿ ವರ್ಾವೂ ವಿದ್ಯಾ ರ್ಥಾಗಳಲ್ಲಿ ಸಪ ರ್ಧಾತಮ ಕ ಮ್ನೀಭಾವನೆಹಾಗೂಕನನ ಡ ರ್ನಡಿನಭಾಷೆ,ಸ್ಥಹಿತಾ,ಸಂಸಕ ರತಿ,ಕಲೆಯನ್ನನ ಬೆಳೆಸುವ ಉದ್ಾ ೀಶ್ದಿಂದ ಸ್ಥಂಸಕ ೃತಿಕ ಕಾಯಾಕರ ಮ್,ರಸಪರ ಶ್ನನ ಕಾಯಾಕರ ಮ್,ಹಾಾ ಕಥಾನಂತಹ ತಂತಿರ ಕ ಕಾಯಾಕರ ಮ್ಗಳನ್ನನ ಏಪಾಡಿಸುವಮೂಲಕ ವಿದ್ಯಾ ರ್ಥಾಗಳ ಪರ ತಿಭೆಗೆ ವೀದಿಕೆಯನ್ನನ ಕಲ್ಲಪ ಸಲಾಗುತು ದ್. ಇದಲಿ ದ್ ಕರ್ನಾಟಕ ರಾಜ್ಾ ೀತಿ ವವನ್ನನ ಕನನ ಡ ಹಬಬ ದ ರಿೀತಿಯಲ್ಲಿ ಆಚರಿಸಲಾಗುವುದು,ಇದರಿಂದ ವಿದ್ಯಾ ರ್ಥಾಗಳಲ್ಲಿ ಕನನ ಡದ ಮೀಲೆ ಸ್ಥವ ಭಿಮಾನ ಹೆಚ್ಚಾ ಗಿ ಬೆಳೆಯಲು ಸಹಾಯವಾಗವುದು.ಈಕೂಟವು ಕನನ ಡರ್ನಡುನ್ನಡಿಯಬಗೆೆ ವಿರ್ಯವನ್ನನ ಪಸರಿಸುವ ನಿಷ್ಟು ವಂತಹಾಗೂಉತಿ ಹಭರಿತ ಸದಸಾ ರನ್ನನಹಂದಿದ್ಹಾಗೂಕಾಯಾಕ್ಷಮ್ತೆಯುಳಳ ಹಸ ಮುಖಗಳನ್ನನ ಸಹ ಪರ ತಿವರ್ಾವು ಸೀರಿಸ್ಸಕಳಳ ಲಾಗುವುದು. [cite: 283, 284, 285]","September 19, 2022 [cite: 283]","During the Kannada Koota recruitment drive, interested candidates can apply by filling out an application form. The selection process may include an interaction round to assess enthusiasm for Kannada language and culture, along with a brief discussion on literature, history, or cultural topics. The final selection list will be announced via email. [cite: 286, 288, 289]","The recruitment for Kannada Koota takes place at the beginning of each academic year. [cite: 290]","The goal of Kannada Koota is to preserve and promote the Kannada language, literature, and cultural heritage among students. The club provides a platform for individuals passionate about Karnataka’s traditions to engage in cultural, literary, and technical events, fostering a deeper connection to their roots. By organizing festivals, competitions, and awareness programs, Kannada Koota aims to instill pride in Kannada and encourage active participation in keeping its legacy alive. [cite: 291, 292, 293]"